Date,News
2026-01-20,"KUALA LUMPUR: Maybank plans to introduce a new retail banking application to replace its existing MAE app, as part of a broader technology investment to enhance digital capabilities and strengthen customer engagement across the region. President and group CEO Khairussaleh Ramli said the new app is part of a RM10 billion investment in technology over five years. He said the new app is intended to leapfrog current capabilities and will be developed as a single platform to serve multiple markets and countries within the group’s regional footprint. “MAE is good, but there are certain capabilities that we need to put in place. We are now focused on developing for the group and the region. “We want to build a single platform for multiple footprints and countries,” he said at a press briefing in conjunction with the launch of Roar30, Maybank’s new five-year strategy through 2030. Khairussaleh said the plan is to build one scalable platform for individual customers that can be rolled out across the region rather than developing market-specific solutions, to improve efficiency and enhance customer experience. He said Indonesia could be the first market for the rollout, given the importance of digital banking in the country, while Malaysia and Singapore might follow soon after. Khairussaleh said the new app would support the group’s efforts to grow fee-based income through improved cross-selling of solutions on the retail side, while complementing transaction banking and payments capabilities on the non-retail side."
2025-12-24,"PETALING JAYA: Maybank’s DuitNow services, including QR payments, transfers, bill payments and related transactions, are currently experiencing intermittent slowness. In a post on X today, Maybank said some transactions “may take longer than usual or are temporarily unavailable”. “During this period, you may continue to use Interbank Giro as usual for transfers. “Rest assured work is in progress to restore the affected services as soon as possible,” it said. For more information or assistance, write to [email protected] or contact 1-300-88-6688 (Malaysia) or +603-7844 3696 (overseas)."
2025-10-19,"PETALING JAYA: Maybank has clarified that a social media post advertising female usher positions for a Maybank ladies’ golf tournament was fake and had no connection to the bank, its organisers, or official vendors. The post, which had gone viral in recent days, stated it was looking for usherettes for the 2025 Maybank Championship and listed specific racial preferences – “Chinese, Malay, fair Indian”. It also mentioned the event dates as Oct 30 to Nov 2 at the Kuala Lumpur Golf & Country Club (KLGCC) – the venue and dates of the 2025 Maybank Championship. In a statement, Maybank said it was aware of the post and emphasised that the individual or account behind it was not associated with Maybank, the Maybank Championship, or any of its authorised event partners. “The post used discriminatory language and misused Maybank’s name. It has since been removed, but we urge everyone to remain vigilant,” the bank said. “Maybank strongly condemns any form of discrimination and remains committed to upholding equity, inclusivity, and integrity in all aspects of our events and partnerships.” Maybank also advised the public not to engage with or share personal information through unverified sources, stressing that all legitimate job or volunteer opportunities related to its events are announced only through official and verified channels. This year’s edition of the Maybank Championship offers total prize money of US$3 million (RM12.7 million), the largest in Asia for a Ladies Professional Golf Association (LPGA) event. Among those expected to tee up at the event are Thailand’s world No 1 Jeeno Thitikul, and New Zealand’s Lydia Ko, the reigning Olympic gold medallist and a World Golf Hall of Famer."
2025-09-29,"PETALING JAYA: Creditor banks including Malayan Banking Bhd (Maybank), CIMB Group Holdings Bhd and RHB Bank Bhd will get a boost to earnings from the restructuring of Vantris Energy Bhd, formerly known as Sapura Energy Bhd. The implementation of the oil and gas service provider’s regularisation plan to exit its Practice Note 17 (PN17) status resulted in Maybank, CIMB, and RHB emerging as major shareholders of the “rebranded” entity. In a note today, MBSB Research said the restructuring of Vantris could add as much as 2.3% to its creditor banks’ earnings this year. It said the creditor banks are expected to recognise earnings contributions from settlement shares issued at 80 sen apiece. Based on the current market price of 53 sen per share, the proceeds translate into an uplift of between 1.5% and 2.3% of net profit this year, it noted. The research house also said Maybank was likely to see the “largest absolute impact”. Malaysia’s largest bank ended up with a 20.27% stake in Vantris, post restructuring. In a bourse filing last Friday, Maybank said Vantris had issued 462.45 million new shares and 498.48 million redeemable convertible unsecured Islamic debt securities (RCUIDS) to the bank and its unit Maybank Islamic Bhd. This formed part of the settlement of liabilities owed by Sapura TMC Sdn Bhd, a wholly owned subsidiary of Vantris. In a separate filing, CIMB disclosed its subsidiaries also received new securities. CIMB Bank Bhd obtained 208.93 million shares and 225.21 million RCUIDS, while CIMB Islamic Bank Bhd received 67.73 million shares and 73.01 million RCUIDS. Together, they hold a combined 12.13% stake in Vantris. Meanwhile, RHB said its subsidiary RHB Islamic Bank received 164.56 million shares and 177.39 million RCUIDS, giving the banking group a 7.21% indirect stake in the company. MBSB noted that other listed creditors, particularly AMMB Holdings Bhd (AMMB), did not issue announcements, likely being short of the 5% shareholding disclosure threshold. Exiting PN17 Vantris had secured approval from the stock exchange regulator in June for its regularisation plan to exit its PN17 classification, which it fell under in 2022 due to financial distress. Under the plan, the company will perform a 99.99% capital reduction to offset accumulated losses, along with a 20-to-one share consolidation to slash the number of shares in circulation. The debt restructuring will reduce its borrowings from RM10.8 billion to about RM5.6 billion, cutting annual interest expenses by more than RM500 million, or approximately 60%. The plan also involves a RM1.1 billion capital injection from the ministry of finance, via Malaysia Development Holding Sdn Bhd (MDH), through redeemable convertible loan stocks (RCLS). Proceeds from this subscription have been earmarked to settle outstanding payments to Malaysian oil and gas vendors. Upon full conversion of the RCLS, MDH could emerge as Vantris’ single largest shareholder with over a 33% stake, overtaking Permodalan Nasional Bhd, whose stake may be diluted to just above 5%. Vantris closed 6.6% or 3.5 sen higher at 56 sen, valuing the group at RM1.29 billion."
2025-09-29,"PETALING JAYA: Malayan Banking Bhd (Maybank) has appointed Yasin Abdullah as group CEO of Islamic banking and CEO of Maybank Islamic Bhd, effective Oct 1. In a statement today, Maybank said Yasin will be responsible for leading the group’s Islamic banking franchise and spearheading Maybank’s vision of becoming a global leader in Islamic finance, Bernama reported. “He will oversee all aspects of Maybank group’s Islamic finance business, including business strategies, product development and innovation, while ensuring risk management and shariah-compliant management are of gold standards. “He will report to Maybank’s president and GCEO, and be a member of the group executive committee,” it said. Yasin, 52, is currently Maybank’s group chief audit executive (GCAE), where he spearheaded the Maybank Group Audit Strategic Plan 2023-2025 to elevate the audit function through global best practices and enhance assurance across the group. Meanwhile, Maybank has also appointed Malique Firdauz Ahmad Sidique, 47, as its new GCAE, effective Oct 1, taking over from Yasin. Maybank president and GCEO Khairussaleh Ramli said that these appointments continued to demonstrate the effectiveness of Maybank’s internal succession planning."
2025-07-25,"KUALA LUMPUR: A leading commercial bank has obtained a cease and desist order from the Industrial Court to restrain a union from commenting on a case of alleged sexual harassment, pending the outcome of a trade dispute between them. Court chairman Andersen Ong said it was just and necessary to grant the order to Malayan Banking Bhd after considering the actions of the National Union of Bank Employees (NUBE) and the provisions of the Industrial Relations Act (IRA) 1967. NUBE is barred from issuing statements to the press or posting them on its website and social media, as well as from organising pickets. “Parties are to comply with the order forthwith, failing which the court may make further orders as it deems fit and appropriate in the circumstances,” Ong said in the interim award released last week. The trade dispute stemmed from allegations of sexual harassment raised by a former employee against her colleague. The incident was addressed in 2021 but resurfaced in 2024 during an unrelated formal grievance process. Although no formal complaint was lodged in respect of the earlier allegation of sexual harassment, it became the subject of escalating public campaigns and protests by NUBE. Maybank took exception to NUBE’s approach and referred a trade dispute which was later referred to the Industrial Court for adjudication. Despite the referral to court, NUBE continued to publish statements and organise pickets related to the allegation of sexual harassment. In response, the bank applied for interim relief under the IRA, seeking an order that NUBE cease and desist from such conduct. Ong said although the court did not possess injunctive powers akin to a civil court, it was empowered to issue interim or ancillary orders to regulate the conduct of parties during ongoing proceedings. He said the objective of such orders was to preserve the status quo, prevent further escalation, and ensure the orderly administration of justice. Ong said the court had the statutory power to regulate processes under the IRA, which includes ensuring that the proceedings before it are not undermined by prejudicial public statements, misinformation, or acts that may affect the administration of justice. He said while trade unions are entitled to represent members and engage in collective action, these rights are not unfettered. Ong said the making of disparaging, unfounded, or defamatory remarks against the employer on social media platforms during picketing fell outside the legitimate scope of trade union activities. He said the court would be rendered “a toothless tiger” if it could not restrain conduct that jeopardised its proceedings once a matter had been referred. Janice Anne Leo, Chong Jen Hui, and Adrienne Sena appeared for the bank while Ravi Nekoo and Arvinkumar Mohan represented NUBE."
2025-07-25,"KUALA LUMPUR: Sebuah bank komersial memperoleh perintah henti daripada Mahkamah Perusahaan untuk menghentikan sebuah kesatuan daripada mengulas mengenai suatu kes dakwaan gangguan seksual, sementara menunggu pertikaian perdagangan antara mereka selesai. Pengerusi Mahkamah, Andersen Ong, berkata mahkamah perlu mengeluarkan perintah tersebut bagi pihak Malayan Banking Bhd, selepas mempertimbangkan tindakan Kesatuan Kebangsaan Pekerja Bank (NUBE) dan peruntukan Akta Perhubungan Perusahaan (IRA), dan langkah ini disifatkan sebagai adil. NUBE dilarang mengeluarkan kenyataan kepada pihak akhbar atau menyiarkannya di laman web dan media sosialnya, serta daripada menganjurkan piket, berhubung kes dakwaan gangguan seksual berkenaan. “Pihak-pihak hendaklah mematuhi perintah itu serta-merta, dan jika gagal, mahkamah boleh membuat perintah lanjut sebagaimana yang difikirkan sesuai dan wajar mengikut keadaan,” kata Ong dalam award interim minggu lalu. Pertikaian perdagangan itu berpunca daripada dakwaan gangguan seksual yang dibangkitkan oleh seorang bekas pekerja terhadap rakan sekerja. Insiden itu ditangani pada 2021 tetapi timbul pada 2024 semasa proses aduan rasmi yang tidak berkaitan. Walaupun tiada aduan rasmi difailkan berhubung dakwaan gangguan seksual terdahulu, ia menjadi subjek kempen awam dan protes oleh NUBE. Maybank membantah pendekatan NUBE dan merujuk pertikaian perdagangan yang kemudiannya dibawa kepada Mahkamah Perusahaan untuk adjudikasi. Walaupun kes dirujuk ke mahkamah, NUBE terus menerbitkan kenyataan dan menganjurkan piket berkaitan dengan dakwaan gangguan seksual tersebut. Sebagai tindak balas, bank memohon relief interim di bawah IRA, untuk mendapatkan perintah agar NUBE menghentikan dan mengelakkan diri daripada tingkah laku sedemikian. Ong berkata, walaupun mahkamah tidak mempunyai kuasa injunksi yang serupa mahkamah sivil, ia memiliki kuasa untuk mengeluarkan perintah interim atau sampingan untuk mengawal tingkah laku pihak-pihak semasa prosiding sedang berjalan. Beliau berkata objektif perintah sedemikian adalah untuk mengekalkan status quo, mencegah keadaan menjadi bertambah buruk, dan memastikan pentadbiran keadilan yang teratur. Ong berkata mahkamah mempunyai kuasa statutori untuk mengawal selia proses di bawah IRA, yang termasuk memastikan prosiding tidak terjejas oleh kenyataan awam yang memprejudiskan, maklumat salah, atau tindakan yang boleh menjejaskan pentadbiran keadilan. Beliau berkata, walaupun kesatuan sekerja berhak mewakili ahli dan terlibat dalam tindakan kolektif, hak-hak ini tidak tidak terbatas. Ong berkata, membuat kenyataan yang memburukkan, tidak berasas, atau memfitnah terhadap majikan di platform media sosial semasa piket adalah di luar skop aktiviti kesatuan sekerja yang sah. Beliau berkata mahkamah akan menjadi ‘hilang taring’ jika tidak dapat menyekat tingkah laku yang membahayakan prosiding setelah sesuatu perkara dirujuk. Janice Anne Leo, Chong Jen Hui, dan Adrienne Sena mewakili bank selaku peguam, manakala Ravi Nekoo dan Arvinkumar Mohan mewakili NUBE."
2025-05-19,"KUALA LUMPUR: Malaysia’s largest lender, Malayan Banking Bhd facilitated as much as RM2.35 billion (US$545 million) in client investments into the Johor-Singapore special economic zone (JS-SEZ) as part of efforts to promote the region. Maybank facilitated the submission of letters of intent by Singapore-headquartered clients Alpine Renewables and Edible Oils Pte Ltd, Centurion Corp and Thomson Medical Group Ltd into the JS-SEZ, according to a statement today. Leaders of Singapore and Malaysia in January launched the zone that links the border region of both countries. The JS-SEZ is nearly twice the size of China’s Shenzhen — the city bordering Hong Kong, whose success Malaysia is hoping to emulate with the JS-SEZ. Maybank also said it signed a letter of intent with the economy ministry that outlines its interest in joint efforts to promote the JS-SEZ. The bank would facilitate financing for critical new technologies and infrastructure development, and provide trade finance solutions, investment guarantees and credit facilities to attract foreign direct investments."
2025-04-30,"KUALA LUMPUR: Malayan Banking Bhd (Maybank) has appointed Shafiq Abdul Jabbar as group chief financial officer (CFO), effective July 7. He succeeds former group CFO Khalijah Ismail. In a filing with Bursa Malaysia, the banking group said Shafiq would play a key role in supporting the president and group chief executive officer, Khairussaleh Ramli, in driving value creation and strategic decision-making. Maybank said Shafiq is expected to lead the transformation of group finance, building forward-looking capabilities through greater use of technology and data. He will work closely with members of the group executive committee to enhance shareholder value and uphold the highest standards of governance, reporting and controls to ensure long-term sustainable growth, it said. Khairussaleh said Shafiq’s strong financial leadership, with over 25 years’ experience across various industries, would be instrumental in supporting Maybank’s strategic growth agenda. “The group congratulates Shafiq as he joins our management team under my leadership to drive Maybank forward as the most positively impactful financial institution,” he said."
2025-04-05,"KUALA LUMPUR: Malayan Banking Bhd chief executive officer Khairussaleh Ramli will remain in his job for three more years, The Edge reported today, citing unidentified people. The contract extension will let Khairussaleh complete the bank’s ongoing strategy, called M25+, in 2025 and build a new plan for the next few years, the local newspaper cited the sources as saying. A spokesman for Maybank, Malaysia’s biggest lender, declined to comment. Khairussaleh, who turns 58 this year, took the reins at Maybank on May 1, 2022. Its shares have returned 36% since then, outpacing the benchmark FTSE Bursa Malaysia KLCI Index’s 6.4%. Kuala Lumpur-based Maybank will begin moving its headquarters to Merdeka 118, the world’s second tallest skyscraper, in the second quarter of next year, a bank spokesman told the paper. It’s set to be the tower’s biggest tenant."
2025-04-04,"KUALA LUMPUR: Malaysia is projected to post a slower economic growth in 2025 as reciprocal tariffs from the US impact exports, according to two of Southeast Asia’s biggest lenders. United Overseas Bank Ltd (UOB) lowered Malaysia’s gross domestic product growth forecast to 4% from 4.7%, while Malayan Banking Bhd (Maybank) cut its forecast to 4.3% from 4.9%. Both banks see a possibility of an interest rate cut by Bank Negara Malaysia this year. The 24% reciprocal tariff imposed by the US on Malaysian products is within UOB’s expectation, economists Julia Goh and Loke Siew Ting said in a note. Still, the Southeast Asian country will also be impacted by stiffer levies imposed on major trading partners like China, the EU and Japan. “The risks of escalation and retaliation by other countries have risen,” they wrote. “This would impede global trade, growth, and investments more than previously anticipated though not to the extent of an outright recession just yet,” they added. UOB views the tariff implications on consumer price inflation in Malaysia as small, with supply-driven factors and potential excess supply dumping activities neutralising the effects. Maybank’s downgrade for Malaysia is among the largest in the region along with Vietnam and Singapore due to the country’s heavier reliance on trade, analysts including Chua Hak Bin and Suhaimi Ilias wrote in a separate note. “Any additional US tariff on semiconductors could also impact Malaysia,” they said. They have estimated a potential 25-basis-point interest rate cut for Malaysia between this year and 2026."
