Date,Sentiment,Close
2026-03-04,,
2026-03-03,,
2026-03-02,,11.72
2026-02-27,,11.96
2026-02-26,,12.0
2026-02-25,,12.36
2026-02-24,0.5929,12.38
2026-02-23,0.4375,12.2
2026-02-17,0.0,12.2
2026-02-16,0.4,11.94
2026-02-14,0.6,11.94
2026-02-13,0.2,12.06
2026-02-12,0.1667,12.14
2026-02-11,0.43,12.26
2026-02-10,0.4562,12.0
2026-02-09,0.45,12.06
2026-02-05,0.1,11.94
2026-02-04,0.45,11.94
2026-02-03,0.375,11.94
2026-01-31,0.55,11.94
2026-01-30,0.3,11.8
2026-01-27,0.75,11.76
2026-01-26,0.275,11.5
2026-01-23,0.3,11.36
2026-01-22,0.45,11.22
2026-01-21,0.4892,11.1
2026-01-20,0.7,11.06
2026-01-16,0.55,11.16
2026-01-15,0.75,11.1
2026-01-14,0.65,11.04
2026-01-13,0.45,11.06
2026-01-12,0.45,10.94
2026-01-09,-0.15,10.86
2026-01-08,0.25,10.64
2026-01-07,0.15,10.68
2026-01-06,0.55,10.7
2026-01-05,0.4375,10.56
2026-01-02,0.575,10.44
2025-12-31,0.35,10.48
2025-12-30,0.3,10.5
2025-12-29,0.45,10.44
2025-12-24,0.0,10.48
2025-12-23,0.8,10.54
2025-12-22,0.25,10.48
2025-12-18,0.1,10.3
2025-12-17,0.225,10.3
2025-12-16,0.2,10.36
2025-12-12,0.35,10.3
2025-12-05,-0.4,10.18
2025-12-04,0.1,10.24
2025-12-03,0.36,10.26
2025-12-02,0.6,10.34
2025-11-26,0.1,9.98
2025-11-25,0.45,9.98
2025-11-24,0.1778,9.96
2025-11-21,0.05,9.94
2025-11-17,0.175,9.92
2025-11-14,0.35,9.93
2025-11-13,0.475,9.95
2025-11-12,0.21,9.94
2025-11-11,0.275,9.91
2025-11-10,0.45,9.94
2025-11-09,0.3,9.94
2025-11-07,0.4,9.91
2025-11-05,0.5,9.92
2025-11-03,0.0,9.95
2025-11-02,0.45,9.95
2025-11-01,0.08,9.95
2025-10-31,0.1333,9.87
2025-10-30,0.475,9.89
2025-10-29,0.4,9.87
2025-10-28,0.05,9.88
2025-10-27,0.6,9.91
2025-10-26,0.75,9.91
2025-10-22,0.1833,9.86
2025-10-21,0.35,9.9
2025-10-19,0.4,9.9
2025-10-17,0.6,9.89
2025-10-16,0.0,9.92
2025-10-13,0.1,9.93
2025-10-09,0.1,10.0
2025-10-03,0.85,10.0
2025-10-02,0.8167,9.98
2025-10-01,0.3,9.95
2025-09-30,0.35,9.91
2025-09-29,0.3167,9.91
