Date,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2026-04-15,,,,0.55
2026-04-14,,,,-0.25
2026-04-13,,,,0.3
2026-04-12,,,,0.25
2026-04-10,,0.85,,-0.35
2026-04-09,,0.2,,
2026-04-08,,,,0.1333
2026-04-07,,0.4,,-0.45
2026-04-06,,0.1,,-0.35
2026-04-03,,,,-0.55
2026-04-02,,0.0,,0.4
2026-04-01,,,,0.175
2026-03-30,,0.85,,0.6
2026-03-27,,0.4,,
2026-03-26,,,,0.3
2026-03-25,,,,0.3
2026-03-24,,,,0.04
2026-03-23,,0.85,,
2026-03-20,,0.85,,0.1
2026-03-19,,0.05,,0.85
2026-03-18,,,,0.1625
2026-03-17,,,,0.2
2026-03-16,,,,-0.6
2026-03-13,,0.2,,-0.15
2026-03-12,,,,0.1
2026-03-11,,,,0.2
2026-03-10,,,,-0.45
2026-03-09,,,,0.2667
2026-03-06,,0.6,,0.3833
2026-03-05,,,,-0.16
2026-03-04,,,,0.2333
2026-03-03,,,,0.0667
2026-03-02,,,,0.225
2026-02-27,,0.65,,0.2591
2026-02-26,,0.525,,
2026-02-25,,,,0.9
2026-02-24,,0.62,,0.4167
2026-02-23,,0.456,,0.15
2026-02-17,,,,0.0
2026-02-16,,0.6,,-0.1
2026-02-14,,0.0,,
2026-02-13,,0.5,,
2026-02-12,,-0.125,,0.45
2026-02-11,,0.66,,0.0
2026-02-10,,0.49,,0.3
2026-02-09,,0.675,,0.025
2026-02-05,,,0.1,0.1
2026-02-04,,,,0.4
2026-02-03,,,,0.4
2026-01-31,,,,0.7
2026-01-30,,0.4,,
2026-01-27,,,,0.7
2026-01-26,,,,0.4
2026-01-23,,,,0.45
2026-01-22,,0.7,,
2026-01-21,,0.55,,0.48
2026-01-20,0.8,0.475,,
2026-01-16,,,,0.65
2026-01-15,,0.7,,
2026-01-14,,0.75,,0.5
2026-01-13,,,,0.6
2026-01-12,,,,0.4
2026-01-09,,,,-0.1
2026-01-08,,,,0.1
2026-01-07,,,,0.125
2026-01-06,,,,0.45
2026-01-05,,0.6,,0.5
2026-01-02,,,,0.45
2025-12-31,,,,0.3667
2025-12-30,,,,0.35
2025-12-29,,,,0.35
2025-12-24,-0.2,-0.4,,0.4
2025-12-23,,,,0.8
2025-12-22,,,,0.25
2025-12-18,,,,0.125
2025-12-17,,,,0.3
2025-12-16,,,,0.3
2025-12-12,,,,0.2875
2025-12-05,,,,-0.2
2025-12-04,,,,0.025
2025-12-03,,,0.45,0.3625
2025-12-02,,0.45,,
2025-11-26,,,,0.1
2025-11-25,,0.65,,0.35
2025-11-24,,0.4,,0.18
2025-11-21,,0.125,,-0.1
2025-11-20,,0.0,,
2025-11-17,,0.75,,0.35
2025-11-14,,,,0.25
2025-11-13,,0.75,,0.3
2025-11-12,,0.0,,0.1875
2025-11-11,,0.2167,,0.225
2025-11-10,,0.4125,,
2025-11-09,,0.55,,
2025-11-08,,0.3,,
2025-11-07,,0.5,,0.3
2025-11-05,,0.8,,
2025-11-03,,0.0,,
