Date,Sentiment,Close
2026-03-05,,
2026-03-04,,
2026-03-03,,
2026-03-02,,11.72
2026-02-27,,11.96
2026-02-26,,12.0
2026-02-25,,12.36
2026-02-24,0.5086,12.38
2026-02-23,0.3325,12.2
2026-02-17,0.62,12.2
2026-02-16,0.2167,11.94
2026-02-14,0.1,11.94
2026-02-13,0.425,12.06
2026-02-12,0.2667,12.14
2026-02-11,0.26,12.26
2026-02-10,0.325,12.0
2026-02-09,0.3333,12.06
2026-02-05,0.15,11.94
2026-02-04,0.4,11.94
2026-02-03,0.4,11.94
2026-01-31,0.6,11.94
2026-01-30,0.3,11.8
2026-01-27,0.65,11.76
2026-01-26,0.175,11.5
2026-01-23,0.25,11.36
2026-01-22,0.6,11.22
2026-01-21,0.365,11.1
2026-01-20,0.625,11.06
2026-01-16,0.6,11.16
2026-01-15,0.4,11.1
2026-01-14,0.55,11.04
2026-01-13,0.25,11.06
2026-01-12,0.25,10.94
2026-01-09,0.15,10.86
2026-01-08,0.1,10.64
2026-01-07,0.025,10.68
2026-01-06,0.5,10.7
2026-01-05,0.475,10.56
2026-01-02,0.275,10.44
2025-12-31,0.5,10.48
2025-12-30,0.25,10.5
2025-12-29,0.25,10.44
2025-12-24,0.1575,10.48
2025-12-23,0.7,10.54
2025-12-22,0.175,10.48
2025-12-18,0.025,10.3
2025-12-17,0.325,10.3
2025-12-16,0.4,10.36
2025-12-12,0.1875,10.3
2025-12-05,-0.1,10.18
2025-12-04,0.175,10.24
2025-12-03,0.26,10.26
2025-12-02,0.5,10.34
2025-11-26,0.035,9.98
2025-11-25,0.325,9.98
2025-11-24,0.1444,9.96
2025-11-21,0.1975,9.94
2025-11-17,0.075,9.92
2025-11-14,0.25,9.93
2025-11-13,0.25,9.95
2025-11-12,0.24,9.94
2025-11-11,0.2,9.91
2025-11-10,0.3933,9.94
2025-11-09,0.3,9.94
2025-11-07,0.325,9.91
2025-11-05,0.4,9.92
2025-11-03,0.2,9.95
2025-11-02,0.375,9.95
2025-11-01,0.096,9.95
2025-10-31,0.0833,9.87
2025-10-30,0.125,9.89
2025-10-29,0.2333,9.87
2025-10-28,0.085,9.88
2025-10-27,0.25,9.91
2025-10-26,0.25,9.91
2025-10-22,0.3,9.86
2025-10-21,0.3675,9.9
2025-10-19,0.4,9.9
2025-10-17,0.6,9.89
2025-10-16,0.2,9.92
2025-10-13,0.15,9.93
2025-10-09,0.1,10.0
2025-10-03,0.72,10.0
2025-10-02,0.4467,9.98
2025-10-01,0.46,9.95
2025-09-30,0.1833,9.91
2025-09-29,0.3083,9.91
2025-09-26,0.175,9.89
2025-09-24,0.1,9.83
2025-09-23,0.125,9.82
2025-09-19,0.5,9.8
2025-09-17,0.6,9.94
2025-09-12,0.25,9.87
2025-09-11,0.25,9.77
2025-09-09,0.275,10.04
2025-09-08,0.2,10.0
2025-09-03,0.1533,9.98
2025-09-02,0.44,10.06
2025-08-30,0.25,10.06
2025-08-29,0.055,9.9
2025-08-28,0.15,9.95
2025-08-27,0.2064,9.79
2025-08-26,0.1625,9.75
2025-08-21,0.6,9.78
2025-08-20,0.3,9.8
2025-08-19,0.5,9.8
2025-08-14,0.15,9.84
2025-08-13,0.3333,9.86
2025-08-12,0.25,9.71
2025-08-06,0.32,9.63
2025-08-05,0.1667,9.66
2025-08-01,0.225,9.6
2025-07-31,0.25,9.39
2025-07-25,0.15,9.54
2025-07-22,0.175,9.53
2025-07-21,0.1,9.52
2025-07-18,0.5,9.52
2025-07-17,0.325,9.53
2025-07-15,0.2167,9.65
2025-07-14,0.225,9.72
2025-07-11,0.25,9.69
2025-07-10,0.124,9.73
2025-07-09,0.2333,9.7
2025-07-08,0.375,9.7
2025-07-07,0.265,9.72
2025-07-04,0.5,9.74
2025-07-03,0.5,9.8
2025-07-01,0.2833,9.72
2025-06-30,0.31,9.7
2025-06-26,0.4,9.81
2025-06-24,0.1,9.8
2025-06-23,0.35,9.67
2025-06-16,-0.1,9.59
2025-06-12,0.4167,9.77
2025-06-11,0.4,9.7
2025-06-10,0.25,9.66
2025-06-09,0.27,9.68
2025-06-03,0.2,9.76
2025-05-29,0.08,9.87
2025-05-28,0.1,9.84
2025-05-27,0.2091,9.85
2025-05-26,0.075,9.92
2025-05-21,0.1,10.0
2025-05-20,0.2083,10.04
2025-05-19,0.3333,10.14
2025-05-14,0.35,10.2
2025-05-13,0.325,10.2
2025-05-08,0.15,9.88
2025-05-07,0.05,10.0
2025-05-06,0.1167,9.96
2025-05-05,0.125,10.0
2025-05-02,0.21,9.99
2025-05-01,0.225,9.99
2025-04-30,0.475,9.99
2025-04-28,0.11,9.99
2025-04-25,0.0733,9.87
2025-04-24,0.23,9.95
2025-04-23,0.4,9.95
2025-04-22,0.5,9.95
2025-04-21,0.15,9.98
2025-04-18,0.2,10.02
2025-04-17,0.125,9.87
2025-04-16,0.25,9.84
2025-04-15,0.2675,9.94
2025-04-14,0.3875,9.89
2025-04-11,0.3,9.82
2025-04-10,-0.0175,9.99
2025-04-08,0.175,9.88
2025-04-05,0.25,9.88
2025-04-04,0.24,10.24
2025-04-03,0.2333,10.26
2025-04-02,0.325,10.32
2025-03-28,0.15,10.12
2025-03-27,0.05,10.36
2025-03-26,0.1,10.18
2025-03-25,0.55,10.22
