Date,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2026-06-09,0.7,,,0.01
2026-06-08,,,,0.2
2026-06-05,,,,0.3667
2026-06-04,,,,0.0075
2026-06-03,,,,0.425
2026-05-31,,,0.05,
2026-05-29,,,,-0.01
2026-05-28,0.5,,,0.1
2026-05-22,,,,-0.38
2026-05-20,,,,0.1
2026-05-15,,,,0.225
2026-05-14,,,,0.2375
2026-05-13,,,,0.2767
2026-05-11,,,,0.025
2026-05-08,,,,-0.2
2026-05-06,,,,0.4
2026-05-04,,,,0.25
2026-04-30,,,,0.25
2026-04-29,,,0.43,0.3
2026-04-28,,,,0.0167
2026-04-27,,,,0.15
2026-04-22,,,,0.1
2026-04-21,,,,0.2
2026-04-20,,,,0.08
2026-04-15,,,,0.51
2026-04-14,,,,0.15
2026-04-13,,,,0.05
2026-04-12,,,,0.12
2026-04-10,,0.83,,-0.15
2026-04-09,,0.2,,
2026-04-08,,,,0.15
2026-04-07,,0.4,,-0.25
2026-04-06,,0.1,,0.25
2026-04-03,,,,-0.25
2026-04-02,,-0.2,,0.3
2026-04-01,,,,0.425
2026-03-30,,0.715,,0.05
2026-03-27,,0.25,,
2026-03-26,,,,0.15
2026-03-25,,,,0.3
2026-03-24,,,,0.03
2026-03-23,,0.4,,
2026-03-20,,0.62,,0.1
2026-03-19,,0.05,,0.75
2026-03-18,,,,0.3
2026-03-17,,,,0.32
2026-03-16,,,,-0.4
2026-03-13,,0.225,,0.15
2026-03-12,,,,0.1
2026-03-11,,,,0.25
2026-03-10,,,,-0.2
2026-03-09,,,,0.2567
2026-03-06,,0.45,,0.2167
2026-03-05,,,,-0.08
2026-03-04,,,,0.2583
2026-03-03,,,,0.1
2026-03-02,,,,0.15
2026-02-27,,0.67,,0.2164
2026-02-26,,0.42,,
2026-02-25,,,,0.86
2026-02-24,,0.542,,0.44
2026-02-23,,0.324,,0.14
2026-02-17,,,,0.4
2026-02-16,,0.45,,-0.05
2026-02-14,,0.25,,
2026-02-13,,0.225,,
2026-02-12,,0.225,,0.2
2026-02-11,,0.42,,0.15
2026-02-10,,0.3,,0.2833
2026-02-09,,0.475,,0.2
2026-02-05,,,0.2,0.25
2026-02-04,,,,0.4
2026-02-03,,,,0.425
2026-01-31,,,,0.4
2026-01-30,,0.4,,
2026-01-27,,,,0.6
2026-01-26,,,,0.175
2026-01-23,,,,0.25
2026-01-22,,0.55,,
2026-01-21,,0.375,,0.407
2026-01-20,0.68,0.35,,
2026-01-16,,,,0.4
2026-01-15,,0.42,,
2026-01-14,,0.5,,0.25
2026-01-13,,,,0.25
2026-01-12,,,,0.275
2026-01-09,,,,0.25
2026-01-08,,,,0.08
