Date,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2026-06-08,,,,0.45
2026-06-05,,,,0.3767
2026-06-04,,,,-0.195
2026-06-03,,,,0.335
2026-05-31,,,-0.2,
2026-05-29,,,,-0.125
2026-05-28,0.71,,,-0.2
2026-05-22,,,,0.2
2026-05-20,,,,0.1
2026-05-15,,,,0.25
2026-05-14,,,,0.125
2026-05-13,,,,0.2433
2026-05-11,,,,0.0
2026-05-08,,,,0.2
2026-05-06,,,,0.4
2026-05-04,,,,0.0
2026-04-30,,,,-0.1
2026-04-29,,,0.64,0.36
2026-04-28,,,,-0.0333
2026-04-27,,,,0.25
2026-04-22,,,,0.2
2026-04-21,,,,0.125
2026-04-20,,,,0.2
2026-04-15,,,,0.46
2026-04-14,,,,-0.2
2026-04-13,,,,0.2
2026-04-12,,,,0.18
2026-04-10,,0.74,,-0.2
2026-04-09,,0.2,,
2026-04-08,,,,0.0667
2026-04-07,,0.3,,-0.35
2026-04-06,,0.1,,-0.2
2026-04-03,,,,-0.35
2026-04-02,,0.1,,0.3667
2026-04-01,,,,0.27
2026-03-30,,0.775,,0.6
2026-03-27,,0.7,,
2026-03-26,,,,0.4
2026-03-25,,,,0.325
2026-03-24,,,,0.08
2026-03-23,,0.62,,
2026-03-20,,0.66,,-0.1
2026-03-19,,-0.025,,0.9
2026-03-18,,,,0.2
2026-03-17,,,,0.29
2026-03-16,,,,-0.35
2026-03-13,,0.375,,-0.1
2026-03-12,,,,0.1
2026-03-11,,,,0.2
2026-03-10,,,,-0.3
2026-03-09,,,,0.2167
2026-03-06,,0.4733,,0.3833
2026-03-05,,,,-0.16
2026-03-04,,,,0.3
2026-03-03,,,,0.0517
2026-03-02,,,,0.1
2026-02-27,,0.65,,0.1791
2026-02-26,,0.3675,,
2026-02-25,,,,0.86
2026-02-24,,0.544,,0.43
2026-02-23,,0.398,,0.15
2026-02-17,,,,0.1
2026-02-16,,0.5,,-0.2
2026-02-14,,0.0,,
2026-02-13,,0.3,,
2026-02-12,,0.1,,0.4
2026-02-11,,0.55,,0.15
2026-02-10,,0.386,,0.34
2026-02-09,,0.4725,,0.2
2026-02-05,,,0.2,0.1
2026-02-04,,,,0.42
2026-02-03,,,,0.42
2026-01-31,,,,0.7
2026-01-30,,0.3,,
2026-01-27,,,,0.7
2026-01-26,,,,0.37
2026-01-23,,,,0.45
2026-01-22,,0.66,,
2026-01-21,,0.415,,0.427
2026-01-20,0.62,0.515,,
2026-01-16,,,,0.36
2026-01-15,,0.6,,
2026-01-14,,0.73,,0.4
2026-01-13,,,,0.4
2026-01-12,,,,0.3
2026-01-09,,,,-0.1
2026-01-08,,,,0.3
2026-01-07,,,,0.15
2026-01-06,,,,0.35
2026-01-05,,0.25,,0.2667
2026-01-02,,,,0.6
2025-12-31,,,,0.42
2025-12-30,,,,0.4
2025-12-29,,,,0.45
2025-12-24,-0.35,-0.22,,0.4
2025-12-23,,,,0.8
2025-12-22,,,,0.45
2025-12-18,,,,0.15
2025-12-17,,,,0.4
2025-12-16,,,,0.2
2025-12-12,,,,0.375
2025-12-05,,,,-0.2
2025-12-04,,,,0.125
2025-12-03,,,0.39,0.4875
2025-12-02,,0.45,,
2025-11-26,,,,0.15
2025-11-25,,0.6,,0.6
2025-11-24,,0.3333,,0.2257
2025-11-21,,0.25,,0.05
2025-11-20,,0.1,,
2025-11-17,,0.1,,0.4
2025-11-14,,,,0.4
2025-11-13,,0.58,,0.4
2025-11-12,,0.0,,0.2875
2025-11-11,,0.12,,0.425
2025-11-10,,0.3725,,
2025-11-09,,0.38,,
2025-11-08,,0.18,,
2025-11-07,,0.0,,0.35
2025-11-05,,0.2,,
2025-11-03,,0.2,,
2025-11-02,,0.2667,,
2025-11-01,,0.1625,0.1,
2025-10-31,,0.1167,0.1,
2025-10-30,,0.2333,,
2025-10-29,,0.3333,,
2025-10-28,,0.2125,,
2025-10-27,,0.4,,
2025-10-26,,0.6,,
2025-10-25,,0.4,,
2025-10-22,,,,0.3
2025-10-21,,0.0,,0.4533
2025-10-19,0.1,,,
2025-10-17,,0.56,,
2025-10-16,,0.0,,
2025-10-15,,0.0,,
2025-10-13,,,,0.2
2025-10-09,,0.1,,
2025-10-03,,,,0.85
2025-10-02,,0.85,,0.53
2025-10-01,,,,0.275
2025-09-30,,0.35,,0.29
2025-09-29,0.475,0.3,,0.1
2025-09-26,,0.1,,0.4
2025-09-24,,,,0.1
2025-09-23,,0.1,,0.2
2025-09-19,,0.6,,
2025-09-18,,0.6,,
2025-09-17,,0.61,,
2025-09-12,,,,0.2
2025-09-11,,0.4,,
2025-09-10,,0.4,,
2025-09-09,,0.645,,0.0
2025-09-08,,-0.3,,
