Date,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2026-05-11,,,,0.15
2026-05-08,,,,0.1667
2026-05-07,,,,0.6
2026-05-06,,,,0.344
2026-05-05,,,,0.15
2026-05-04,,,,-0.1
2026-04-30,,,,-0.1
2026-04-29,,,,0.2
2026-04-28,,,,-0.1
2026-04-24,,,,0.2
2026-04-22,,,,0.5567
2026-04-21,,,,0.25
2026-04-20,,,,0.2
2026-04-17,,,,0.25
2026-04-16,,,,-0.2
2026-04-15,,0.0,,0.35
2026-04-14,,,,-0.18
2026-04-13,,,,0.05
2026-04-10,,,,-0.2
2026-04-08,,,,-0.1
2026-04-07,,,,-0.35
2026-04-06,,0.58,,-0.2
2026-04-05,,0.0,,
2026-04-04,,0.05,,
2026-04-03,,-0.0375,,-0.15
2026-04-02,,0.0,,0.375
2026-04-01,,0.08,,0.0
2026-03-31,,0.0625,,0.55
2026-03-30,,-0.0875,,
2026-03-28,,0.0,,
2026-03-27,,0.03,,
2026-03-26,,0.0,,0.1833
2026-03-25,,0.0,,
2026-03-24,,,,0.2
2026-03-23,,0.0333,,
2026-03-20,,0.0,,
2026-03-19,,0.0,,
2026-03-18,,0.0167,,0.25
2026-03-17,,0.125,,
2026-03-16,,-0.1,,
2026-03-15,,0.0,,
2026-03-14,,0.0,,
2026-03-13,,0.0,,0.05
2026-03-11,,0.0,,0.2
2026-03-10,,0.0,,-0.3
2026-03-09,,-0.15,,
2026-03-08,,0.3,,
2026-03-06,,0.0,,0.25
2026-03-05,,-0.1,,0.2
2026-03-04,,0.4,,0.1
2026-03-03,,0.15,,-0.225
2026-03-02,,0.0333,,-0.175
2026-03-01,,-0.36,,
2026-02-27,,0.1,,0.3
2026-02-26,,-0.02,,0.2557
2026-02-25,,0.2,,0.2
2026-02-24,,,,0.1667
2026-02-23,,0.4,0.0,
2026-02-18,,0.2,,
2026-02-17,,,,0.1
2026-02-16,,,,-0.1333
2026-02-10,,,,0.28
2026-02-09,,,,0.2
2026-02-08,,0.0,,
2026-02-07,,0.0,,
2026-02-06,,0.0,,
2026-02-05,,0.0,,
2026-02-04,,,,0.275
2026-02-03,,-0.115,,0.1333
2026-01-30,,0.4,,-0.2
2026-01-29,,0.1,,-0.1
2026-01-27,,,,0.4433
2026-01-26,,0.4,,0.25
2026-01-23,,,,0.4
2026-01-22,,0.0,,
2026-01-21,,,,-0.425
2026-01-19,,,,-0.2
2026-01-16,,0.0,,0.46
2026-01-14,,,,0.4
2026-01-13,,0.1,,
2026-01-12,,,,0.35
2026-01-11,,0.0,,
2026-01-09,,,,-0.1
2026-01-07,,0.1,,0.0
2026-01-06,,,,0.43
