Date,News
2025-06-18,"PUTRAJAYA: Mahkamah Persekutuan mengarahkan Public Bank membayar ganti rugi sebanyak RM90 juta kerana melanggar kewajipan statutori dan kerahsiaan dengan mendedahkan akaun syarikat National Feedlot Corporation (NFC) serta tiga syarikat berkaitan kepada umum. Panel tiga hakim yang diketuai oleh Hakim Besar Malaya, Hasnah Hashim, mengarahkan bayaran RM30 juta masing-masing bagi ganti rugi saksama, ganti rugi teladan dan ganti rugi teruk. “Public Bank perlu membayar faedah 2% ke atas jumlah itu bermula hari ini sehingga bayaran ganti rugi diselesaikan,” katanya. Turut bersidang Hakim Besar Sabah dan Sarawak, Abdul Rahman Sebli dan Hakim Abu Bakar Jais. Bulan lalu, mahkamah telah menolak rayuan Public Bank berhubung isu liabiliti. Mahkamah Rayuan sebelum ini memutuskan bahawa NFC gagal membuktikan kerugian yang dialami, menyebabkan hanya ganti rugi nominal sebanyak RM10,000 diberikan. Bagaimanapun, Hasnah berkata Mahkamah Rayuan terkhilaf dalam penemuan tersebut. “Perayu (NFC) mengemukakan laporan kewangan dan akaun teraudit melalui saksi pakar mereka,” katanya, sambil menambah bahawa bank tidak memanggil sebarang saksi bagi mencabar kredibiliti saksi tersebut. Sehubungan itu, dokumen yang dikemukakan oleh pihak perayu kekal tidak dicabar, kata Hasnah. NFC, pengerusinya Salleh Ismail, serta dua anak syarikatnya — National Meat & Livestock Corporation Sdn Bhd dan Agroscience Industries Sdn Bhd — menuntut ganti rugi berjumlah RM560 juta. Salleh ialah suami kepada bekas ketua Wanita Umno, Shahrizat Abdul Jalil. Tuntutan tersebut merangkumi RM60 juta ganti rugi am, RM250 juta ganti rugi teruk, dan RM250 juta ganti rugi teladan. Kes ini bermula pada 2012 apabila bank didakwa membenarkan naib presiden PKR ketika itu, Rafizi Ramli, mengakses maklumat perbankan sulit. Rafizi kemudian menggunakan maklumat tersebut bagi menyokong dakwaan terhadap NFC berhubung pinjaman kerajaan yang dikaitkan dengan pembelian hartanah. NFC diwakili peguam Shafee Abdullah, Sarah Abishegam, dan Farah Mustaffa manakala Chan Kok Keong, Poh Choo Hoe, dan Tiang Min Hin mewakili pihak bank."
2025-06-18,"PUTRAJAYA: The Federal Court has ruled that Public Bank must pay RM90 million in damages for violating its statutory duty and breaching confidentiality by disclosing to the public the National Feedlot Corporation’s (NFC) accounts, along with those of three affiliated companies. A three-member bench led by Chief Judge of Malaya Hasnah Hashim ordered the bank to pay RM30 million each in equitable, exemplary, and aggravated damages. “Public Bank is to pay 2% interest on the judgment sum effective today until the payment of damages is settled,” she said. Sitting with her were Chief Judge of Sabah and Sarawak Abdul Rahman Sebli and Justice Abu Bakar Jais. The court dismissed Public Bank’s appeal on liability last month. The Court of Appeal previously ruled that NFC had failed to prove its losses, resulting in the award of a nominal sum of RM10,000 in damages. Hasnah said the appeals court fell into error in its finding. “The appellant (NFC) had produced financial reports and audited accounts through its expert witness,” she said, adding that the bank had not called any witnesses to challenge the witness’s credibility. As such, the documents relied on by the appellants remained unchallenged, said Hasnah. In their statement of claim, NFC, its chairman Salleh Ismail, and its subsidiaries National Meat & Livestock Corporation Sdn Bhd and Agroscience Industries Sdn Bhd had asked for RM560 million in damages. They sought RM60 million in general damages and a total of RM500 million in aggravated and exemplary damages. Salleh is the husband of former Wanita Umno chief Shahrizat Abdul Jalil. The case dates back to 2012 when then-PKR vice-president Rafizi Ramli obtained confidential banking details which he used to support allegations against NFC regarding a government loan linked to property purchases. Lawyers Shafee Abdullah, Sarah Abishegam, and Farah Mustaffa represented the appellants, while counsel Chan Kok Keong, Poh Choo Hoe, and Tiang Min Hin appeared for the bank."
2025-05-26,"PUTRAJAYA: Mahkamah Persekutuan sebulat suara mengekalkan keputusan Mahkamah Rayuan bahawa Public Bank melanggar kewajipan statutori dan kerahsiaan dengan mendedahkan maklumat akaun National Feedlot Corporation (NFC) dan tiga syarikat berkaitan kepada umum. Panel tiga hakim yang diketuai oleh Hakim Besar Malaya, Hasnah Hashim memutuskan bahawa undang-undang common law tidak terpakai disebabkan oleh seksyen khusus dalam Akta Undang-Undang Sivil 1956. Mahkamah menolak rayuan Public Bank dan mengekalkan keputusan Mahkamah Rayuan. Mahkamah juga membenarkan NFC dan perayu lain merayu terhadap jumlah ganti rugi nominal sebanyak RM10,000 yang diberikan sebelum ini. Keputusan mengenai jumlah ganti rugi yang akan diberikan ditangguhkan sehingga 18 Jun, dan mahkamah mengarahkan Public Bank membayar kos guaman sebanyak RM300,000 kepada NFC dan anak syarikatnya. NFC, pengerusinya Salleh Ismail, serta dua anak syarikatnya — National Meat & Livestock Corporation Sdn Bhd dan Agroscience Industries Sdn Bhd — sedang menuntut ganti rugi berjumlah RM560 juta. Salleh ialah suami kepada bekas ketua Wanita Umno, Shahrizat Abdul Jalil. Tuntutan tersebut merangkumi RM60 juta ganti rugi am, RM250 juta ganti rugi teruk, dan RM250 juta ganti rugi teladan. Kes ini bermula pada 2012 apabila bank didakwa membenarkan naib presiden PKR ketika itu, Rafizi Ramli, mengakses maklumat perbankan sulit. Rafizi kemudian menggunakan maklumat tersebut bagi menyokong dakwaan terhadap NFC berhubung pinjaman kerajaan yang dikaitkan dengan pembelian hartanah. Peguam Public Bank berhujah bahawa hanya ganti rugi minimum wajar diberikan, dengan menyatakan bahawa penganalisis kewangan yang menyokong tuntutan NFC telah hilang kredibiliti di mahkamah lebih rendah. Mahkamah Rayuan pada 2023 memutuskan bahawa Mahkamah Tinggi telah salah mentafsir keterangan, sekali gus membenarkan campur tangan rayuan dalam isu liabiliti, namun hanya menganugerahkan ganti rugi nominal kerana tiada bukti kerugian sebenar."
2025-05-26,"PUTRAJAYA: The Federal Court has unanimously upheld the Court of Appeal’s ruling that Public Bank breached its statutory duty and confidentiality by revealing the accounts of National Feedlot Corporation (NFC) and three related companies to the public. A three-member bench led by Chief Judge of Malaya Hasnah Hashim ruled that common law did not apply due to specific sections of the Civil Law Act 1956. The court dismissed Public Bank’s appeal and affirmed the Court of Appeal’s decision. The court also allowed NFC and the other appellants to appeal the previous award of RM10,000 in nominal damages. The bench deferred a decision on the amount of damages to be awarded until June 18 but granted RM300,000 in legal costs to NFC and its subsidiaries. NFC, its chairman Salleh Ismail, and its subsidiaries National Meat & Livestock Corporation Sdn Bhd and Agroscience Industries Sdn Bhd are seeking RM560 million in damages. Salleh is the husband of former Wanita Umno chief Shahrizat Abdul Jalil. The claim includes RM60 million in general damages, RM250 million in aggravated damages, and RM250 million in exemplary damages. The case dates back to 2012 when the bank allegedly allowed then-PKR vice-president Rafizi Ramli to access confidential banking details. Rafizi later used this information to support allegations against NFC regarding a government loan linked to property purchases. Public Bank’s lawyer argued that minimal damages were appropriate, saying the financial analyst supporting NFC’s claim was discredited in the lower courts. The Court of Appeal found in 2023 that the High Court had misinterpreted evidence, justifying appellate intervention on liability, but only awarded nominal damages due to a lack of proof of actual loss."
2025-02-26,"PETALING JAYA: Public Bank Bhd’s (PBB) net profit rose by 7.5% to RM7.15 billion in the financial year ended Dec 31, 2024 (FY2024) compared with RM6.65 billion in FY2023, due to the reversal of overprovision of tax in the prior years. Revenue expanded 7% to RM27.20 billion from RM25.41 billion. Net interest and Islamic banking income increased by RM541.3 million, or 5.1%, mainly due to improved net interest/financing margin. “Non-interest income increased by RM376.8 million (15.2%), mainly due to higher unit trust and stockbroking income, as well as higher investment and foreign exchange income. “In addition, profit contribution from an associated company improved by RM222.2 million during the year,” the bank said in a Bursa Malaysia filing. PBB said the improved performance was partially offset by higher other operating expenses of RM413.3 million, mainly due to higher personnel costs. Impairment allowance for loans/financing and other assets increased by RM334.1 million, which was mainly due to the recognition of a one-off impairment on the goodwill of RM473.8 million, which is a non-cash item, in respect of the group’s Hong Kong operations in the current year. The group’s liquidity position also remained stable and healthy, with an average liquidity coverage ratio of 133.4% in 2024. PBB recorded total loans of RM424.2 billion as at end-December 2024, which increased by 6.3% when compared with the same period last year. “During the year, the bank saw strong growth in newly approved domestic loans for hire purchase financing and small and medium enterprise (SME) financing, which grew by 16.3% and 41%, respectively. These will continue to support a stable loan growth in 2025,” it said. Total customer deposits stood at RM433.3 billion as of the end of December 2024, representing a 4.9% growth from the previous corresponding period. Domestic customer deposits increased by 4.8% to RM403.5 billion, mainly driven by core deposit segments. “For 2024, the Public Bank Group’s gross loan to fund and equity ratio stood at 83.2%, reflecting its healthy liquidity position,” it said. Meanwhile, for the fourth quarter (Q4) of FY2024, PBB said its net profit increased 11.2% to RM1.79 billion from RM1.61 billion a year earlier, while revenue was 7.8% higher at RM7.06 billion against RM6.55 billion previously. Managing director and CEO Tay Ah Lek said in recognition of the good performance in 2024, the board of directors has declared a second interim dividend of 11 sen per share. With the first interim dividend of 10 sen per share declared in August 2024, the total dividend for 2024 amounted to 21 sen. “This represents a total payout of RM4.08 billion or 57% of the group’s net profit for 2024. “The second interim dividend is scheduled for payment on March 24, 2025, with a dividend entitlement date of March 13, 2025,” he said. Moving forward, Tay said Malaysia’s operating environment is expected to be favourable at a positive growth trajectory, supported by steady domestic demand, services sector growth, tourism activities, and further progress of investment and infrastructure projects. “The group will continue to position itself for sustainable growth in the coming years,” he added. As at 3pm, Public Banks’s share price was up by 6 sen or 1.35% at RM4.52, giving it a market capitalisation of RM87.74 billion."
2024-10-10,"KUALA LUMPUR: Public Bank Bhd is proposing to acquire a 44.51% equity interest in its late founder Teh Hong Piow’s family holding in LPI Capital Bhd for RM1.72 billion. The proposal involves Public Bank acquiring 175.9 million shares, with approvals already secured from Bank Negara Malaysia and the finance ministry, as of Aug 29. At a press conference today, Public Investment Bank CEO Lee Yo-Hunn said an extraordinary general meeting will be called to seek approval from independent shareholders. Upon completion, a general offer will follow, subject to approval by Public Bank’s shareholders. Lee added that there will be no impact on share capital or shareholder ownership, as no new shares will be issued. “In terms of net asset per share, the pro forma figure for Public Bank remains unchanged at RM2.82, based on last year’s audited financials,” he said. “However, earnings per share are expected to improve from 34 sen to 35 sen under the minimum scenario and to 36 sen under the maximum scenario.” Separately, Public Bank CEO Tay Ah Lek said the acquisition is a step towards adopting a “universal banking model” that offers a comprehensive range of financial products and services. “The proposed acquisition represents a strategic opportunity for Public Bank to further expand its general insurance segment into the Malaysian market through the LPI Group. “This will allow the enlarged Public Bank Group to establish an immediate market presence and a strong foothold in the general insurance segment in Malaysia as a comprehensive complementary service to its current financial services and Family Takaful offerings,” he said. Diona Teh, the youngest daughter of the late Public Bank founder, said the bank will undertake a restricted offer for sale (ROFS) of shares over five years, in compliance with the Financial Services Act. “We will be undertaking an exercise to distribute a portion of our shares at a discount to all eligible shareholders, directors and employees of the Public Bank Group,” she said, adding that this aims to ensure continued control and nurturing of the bank’s legacy. She said more details on the equity streamlining initiative will be announced in the future."
2024-10-09,"KUALA LUMPUR: Public Bank Bhd is considering buying its late founder Teh Hong Piow’s family stake in Lonpac Insurance Bhd, people familiar with the matter said. Malaysia’s second-biggest lender by market value is expected to pay in cash and shares for Consolidated Teh Holdings Sdn Bhd’s nearly 43% stake in LPI Capital Bhd, the people said, asking not to be identified as the information isn’t public. “A potential deal would trigger a buyout of the remainder of LPI,” one of the people said. “Public Bank wants to acquire the insurer as it aims to be a full-fledged universal bank, offering a variety of financial services,” the person said. LPI’s shares have risen about 9% this year, giving the company a market value of RM5.2 billion (US$1.2 billion). Public Bank has advanced 6.5% to a value of RM88.7 billion. Public Bank and LPI both asked for trading to be suspended in Kuala Lumpur today pending an announcement, which the people said could come as soon as this week. LPI declined to comment. Public Bank didn’t respond to requests for comment. Founded in 1962 as London & Pacific Insurance Co, LPI is an investment holding company. According to its website, it adopted its present name in 1999 after transferring its insurance business to subsidiary Lonpac. Public Bank, established in 1966, has 293 branches in Malaysia and 157 overseas, and total assets of about RM493 billion, the website showed. Teh died in 2022, aged 92."
2024-09-09,"PETALING JAYA: Public Bank Bhd, in a strategic collaboration with Credit Guarantee Corporation Malaysia Bhd (CGC), extended RM1 billion in financing to small and medium-sized enterprises (SMEs) across Malaysia. CGC president and CEO Zamree Ishak said for the RM1 billion financing guaranteed by CGC, RM280 million has been disbursed, with an additional RM150 million to be launched today. “Taking into account Malaysia’s encouraging first half of the year economic growth, which surpassed economists’ forecast, our immediate plan is to jointly work with Public Bank on the remaining RM570 million. “This is to meet the additional financing needs of SMEs, in line with the expected further improvement in the Malaysian economy,” he said in a statement. Over the past 52 years, CGC said it has facilitated over RM96 billion in guarantees, benefitting over 380,000 SMEs. Meanwhile, Public Bank managing director and CEO Tay Ah Lek said the bank is always mindful of the crucial role of SMEs in driving the nation’s economic growth and has always been a staunch supporter of the SME sector. “As the largest SME financier of the nation with a market share of 17.5% in Malaysia’s SME financing segment, our partnership with CGC reaffirms our commitment to foster sustainable SME development. “By offering these tailored financing solutions, we aim to further empower SMEs to seize growth opportunities and continue to contribute to the Malaysian economy,” he said. As at June 2024, the bank has extended RM69.3 billion of financing to SMEs. As part of this strategic collaboration, Public Bank has committed RM1 billion in financing to support SMEs, covering the latest tranche of the Portfolio Guarantee (PG) scheme, existing CGC schemes, and any upcoming CGC initiatives. In the latest tranche of the PG scheme, Public Bank said it will offer two distinct loan packages, including the PG Property package and the PG Clean package. The bank said the PG Property package is designed to provide financial support for new asset acquisition and working capital, offering a margin of financing of up to 200% of the property value or purchase price, whichever is lower. “Meanwhile, the PG Clean package offers working capital without collateral. “Both packages provide CGC’s guarantee of up to 70% of the facility amount intended for working capital,” it added."
2024-08-27,"PETALING JAYA: Public Bank Bhd’s net profit rose 10.56% to RM1.78 billion in the second quarter ended June 30, 2024 (Q2 2024) compared to RM1.61 billion a year ago. Revenue also increased 6.87% to RM6.69 billion in the quarter from RM6.26 billion previously. The better performance during the quarter was primarily due to several factors. These include improved net profit attributable to equity holders, increased net interest and Islamic banking income, higher contribution from associated companies, and increase in non-interest/financing income. Nonetheless, the bank said it was partially offset by the increase in other operating expenses by RM101.1 million. “Higher non-interest/financing income was mainly due to higher investment income, higher unit trust related fee income, and higher stock-broking income, but was partially offset by lower foreign exchange and other income. “Higher other operating expenses were mainly due to higher personnel and establishment costs arising from increasing business activities,” it added. The group also reported other comprehensive loss (net) of RM76.2 million for the current quarter, a decrease of RM535.2 million compared to other comprehensive income (net) of RM459 million in Q2 2023. “This was mainly due to losses on foreign currency translation and cash flow hedges in Q2 2024 as compared to gains recorded in Q2 2023, and no revaluation of properties in Q2 2024,” it said. For the first half of the year ended June 30, 2024 (H1 2024), Public Bank recorded a 3% increase in net profit to RM3.43 billion, up from RM3.33 billion in H1 2023, while revenue rose by 8.89% to RM13.48 billion from RM12.38 billion previously. On prospects, the bank said the group remains committed to strengthening and expanding its business and regional presence, particularly in Indochina, capitalising on the regional economic prospects while leveraging its strong branding and prudent management practices. “The group continues to ensure that it remains well-capitalised at all times to support its business growth while safeguarding the interests of its stakeholders. “The group’s healthy capital and liquidity position coupled with its resilient asset quality and prudent loan loss reserves will enable the group to generate sustainable profit through challenging times and business cycles,” it added. Public Bank has declared a first interim dividend of 10 sen per share for the financial year ending Dec 31, 2024 (FY2024), amounting to a payout of RM1.94 billion, which represents 56.5% of the group’s net profit for the period. The dividend will be paid on Sept 23, 2024, based on the dividend entitlement date set for Sept 11, 2024. In a separate statement, Public Bank said that notwithstanding the competitive operating environment, the group continued to sustain healthy business momentum, driven mainly by its resilient growth in loans and deposits businesses and further supported by growth in its non-interest income. “Coupled with its prudent cost management and sound asset quality, the group achieved a net return on equity of 12.8% for H1 2024,” it said. Its managing director and CEO Tay Ah Lek said that underpinned by resilient private expenditure and investment activities, the operating environment in Malaysia will remain conducive to the banking business growth. “The group will continue to strengthen its core competency in the retail banking segment while remaining agile in seizing new opportunities in sustainability and digital transformation by driving business growth. “As the group proactively moves forward, it will continue to ensure a solid foundation with healthy capital and liquidity position, as well as sound asset quality to safeguard its bottom line and sustainable stakeholder value,” he said. As at 2.40pm, Public Banks’s share price was up by 15 sen or 3.33% at RM4.66, giving the group a market capitalisation of RM90.45 billion."
2024-05-20,"PETALING JAYA: Public Bank Bhd’s net profit fell by 3.5% to RM1.65 billion in the first quarter ended March 31, 2024 (Q1 2024) from RM1.72 billion a year ago. The positive impact of the overnight policy rate (OPR) hikes which occurred a year ago did not recur in the quarter under review, the banking group said in a filing with Bursa Malaysia. Revenue, nonetheless, jumped 10.9% to RM6.79 billion from RM6.12 billion previously. Other operating expenses rose by RM104 million, due mainly to higher personnel costs while loan impairment allowance increased by RM61.9 million from a low base of RM1.5 million in the previous corresponding quarter, it said. “However, net interest and Islamic banking income increased by RM74.3 million due to healthy loan growth achieved during the period. “Non-interest/financing income improved marginally by RM3 million, mainly due to higher income from unit trust business, but this was partially offset by lower investment income and lower foreign exchange income,” it added. Public Bank said its profit continued to be supported by healthy loans and customer deposits growth. Gross loan grew by RM23.7 billion, or 6.2%, to RM405.3 billion as at March 31, 2024, against RM381.6 billion a year ago, contributed mainly by mortgage financing growth, hire purchase financing and commercial property financing. Total deposits from customers increased by 4.1%, or RM16.5 billion, to RM420.2 billion as at March 31, 2024. Managing director and CEO Tay Ah Lek said the group continued to sustain a commendable net return on equity of 12.3%, an efficient cost-to-income ratio of 35.4%, and a stable asset quality with a gross impaired loan ratio of 0.62% for the Q1 2024. “Public Bank group will remain vigilant in its business approach and will continue to maintain its prudent risk profile to weather ongoing risks. “The group will continue to take a proactive approach to embrace growth opportunities and will also continue to pursue digital transformation, and further step up its environmental, social and governance efforts to remain relevant in today’s dynamic business environment,” he said."
