Date,URL,News
2024-03-11,https://www.thestar.com.my/business/business-news/2024/03/11/maybank-and-gentari-team-up-to-empower-customers-sustainability-journey,"This marks Gentari’s first collaboration with a financial institution, signifying an aligned commitment with Maybank to drive sustainable solutions adoption in the market."
2024-03-22,https://www.thestar.com.my/business/business-news/2024/03/22/maybank-doxa-ink-mou-for-suplly-chain-financing-solutions-in-building--construction-sector,"SINGAPORE: Maybank has entered into a memorandum of understanding (MOU) with fintech firm Doxa Holdings International (Doxa) to jointly provide and enhance supply chain financing (SCF) solutions for players in the building and construction sector, extending to other industries in the future. Maybank said Doxa's procurement-to-payment platform, Doxa Connex, will enable the bank to broaden its SCF solutions, catering to large corporates and SMEs in Singapore and Malaysia."
2024-04-29,https://www.thestar.com.my/business/business-news/2024/04/29/trade-forward-with-maybank-trade-my-app,"Maybank IB’s all-new trading app allows for a seamless and simplified digital trading experience TODAY, investors expect seamless and secure trading experience, with tools and timely insights to grow their wealth. Based on a research done by Kantar for Maybank Investment Bank (Maybank IB), 69% of respondents of varying trading proficiency and experience prioritise practical and easy-to-use charting tools. In response to clients’ changing needs, Maybank IB launched its enhanced trading app, Maybank Trade MY, benefiting both sophisticated investors and those new to investing. The all-new app simplifies investing through an updated, intuitive design supported by bank-level security. It also provides easier access to Maybank IB’s award-winning insights on economics and equities, and analysis on ESG (environmental, social and governance) performance of stocks. With approximately 120 Malaysian public listed companies covered under Maybank IB research, clients have a wealth of options at their fingertips. Intuitive and effortless experience Investors and traders alike will have more control, confidence and clarity thanks to: >Speed: The app’s all-in-one dashboard presents key information on a single screen, and with just a few taps on their smartphones, users can execute trades swiftly. >Insights: The app integrates tools and daily, actionable market views for users to make informed decisions and capitalise on market opportunities. >Personalisation: Users can tailor a unique experience with the customisable dashboard, stock watchlist and alerts based on their investment goals. Maybank Trade MY app is now available for download to trade within the Malaysian market, with a global feature update coming soon. “As a full-fledged broker, we are committed to delivering exceptional client service, integrating cutting-edge technology and insights,” says Maybank IB officer-in-charge and chief operating officer Tengku Ariff Azhar Tengku Mohamed. “With the launch of the Maybank Trade MY app, we are offering a gateway to new possibilities, empowering clients to seize opportunities and navigate the stock market with confidence.” Existing and new clients can download the all-new Maybank Trade MY App from the Apple App Store, Google Play Store and Huawei AppGallery. Investors can also subscribe to Maybank IB’s Telegram channel “Trade With Maybank” for daily market views. For more information clickhere."
2024-05-28,https://www.thestar.com.my/business/business-news/2024/05/28/maybank-to-launch-white-papers-on-net-zero-pathway-for-oil-palm-power-sectors,"KUALA LUMPUR: Maybank will launch white papers on its net zero pathway for two sectors, namely oil palm as well as power, that will be going public to inform on the bank’s method to reduce carbon emissions by 2030. Maybank group president and chief executive officer Datuk Khairussaleh Ramli said the white paper was a crucial step to have a very clear plan and action for Maybank to be able to achieve net zero."
2024-05-28,https://www.thestar.com.my/business/business-news/2024/05/28/maybank-valuation-stays-results-meet-estimates,"Hong Leong Investment Bank (HLIB) Research expects Maybank’s net interest margin (NIM) to widen in the subsequent quarters, as the banking group’s management intends to be more disciplined in pricing new loans while rivalry for fixed deposits is now less intense, which allows it to optimise its loan-to-deposit ratio."
2024-06-27,https://www.thestar.com.my/business/business-news/2024/06/27/tropicana-and-maybank-collaborate-to-offer-up-to-120-home-financing,"In a statement, the developer said the home financing solution provides Tropicana homeowners with the flexibility to seamlessly integrate Maybank MyDeco Financing with their existing Maybank housing loan with an additional 30% margin of finance or up to a combined total of 120% of property value or up to RM250,000, whichever is lower."
2024-07-05,https://www.thestar.com.my/sport/golf/2024/07/05/door-open-for-female-golfers-in-maybank--tourney,"PETALING JAYA: An Asean qualifier taking place from Aug 27-28 will be the pathway for non-LPGA Asean female professional and amateur golfers to compete in the prestigious Maybank Championship at the KLGCC’s West Course. The Maybank Championship, which is part of the LPGA Tour, is set to return from Oct 24-27 with a prize purse of US$3 million (RM14.136 million)."
2024-07-07,https://www.thestar.com.my/sport/golf/2024/07/07/maybank-adds-another-level-to-regional-womens-game,"MAYBANK, championing the women’s game in this country with their own event on the LPGA Tour, are spreading their wings across the Asean region with a qualifier for the elite tournament. A welcome addition to the Malaysian calendar, the inaugural event has been pencilled in for Kuala Lumpur Golf and Country Club’s West Course on Aug 27 and 28."
2024-07-08,https://www.thestar.com.my/business/business-news/2024/07/08/insurance-takaful-arm-poised-to-lift-maybank,
2024-07-10,https://www.thestar.com.my/business/business-news/2024/07/10/etiqa-to-continue-leveraging-on-maybanks-strong-banking-franchise,"Towards this end, the research house added that it believes Etiqa would continue to leverage on Maybank’s strong banking franchise to grow these two types of insurance."
